contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
META250328P00577500,2025-03-21 19:59:45+00:00,577.5,4.68,0.0,0.0,0.0,0.0,956.0,0,0.062509375,False,REGULAR,USD,-5.5352037737640255e-09,9.630691243849097e-09,-6.524032539847171e-06,1.7590889104671e-08,-2.7151778446937063e-10
META250328P00580000,2025-03-21 19:59:45+00:00,580.0,5.28,0.0,0.0,0.0,0.0,4784.0,0,0.062509375,False,REGULAR,USD,-3.6875000670065945e-07,5.608553745078435e-07,-0.000378549195491493,1.0244274732644298e-06,-1.80905607428849e-08
META250328P00582500,2025-03-21 19:59:45+00:00,582.5,6.0,0.0,0.0,0.0,0.0,1037.0,0,0.062509375,False,REGULAR,USD,-1.3809456762163392e-05,1.8019798415600535e-05,-0.012103841320523355,3.29139692667238e-05,-6.775910179265787e-07
META250328P00585000,2025-03-21 19:59:54+00:00,585.0,6.75,0.0,0.0,0.0,0.0,2926.0,0,0.0312596875,False,REGULAR,USD,-3.2610244003055817e-12,1.3524020894402197e-11,-2.2518441817592378e-09,1.2353090967078996e-11,-1.5987596425430017e-13
META250328P00587500,2025-03-21 19:59:46+00:00,587.5,7.6,0.0,0.0,0.0,0.0,1575.0,0,0.0312596875,False,REGULAR,USD,-4.0920345033990366e-08,1.3411923139386966e-07,-2.2075764312616677e-05,1.2250698803112312e-07,-2.006373987013393e-09
META250328P00590000,2025-03-21 19:59:46+00:00,590.0,8.55,0.0,0.0,0.0,0.0,4103.0,0,0.015634843750000002,False,REGULAR,USD,-5.60296827136583e-15,5.204308483326235e-14,-2.094329317556369e-12,2.3776161992297673e-14,-2.7463265249243226e-16
META250328P00592500,2025-03-21 19:59:49+00:00,592.5,9.45,0.0,0.0,0.0,0.0,2294.0,0,0.015634843750000002,False,REGULAR,USD,-1.0596240736922954e-06,6.189872258228475e-06,-0.00023736608252054682,2.8278762874026986e-06,-5.19432183969921e-08
META250328P00595000,2025-03-21 19:59:58+00:00,595.0,10.7,0.0,0.0,0.0,0.0,2452.0,0,0.0039162109375,False,REGULAR,USD,-7.824340269700552e-13,2.6629817069688264e-11,-4.927096907941736e-11,3.0473296232634045e-12,-3.834648217873979e-14
META250328P00597500,2025-03-21 19:59:46+00:00,597.5,11.85,0.0,0.0,0.0,0.0,1603.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,29.86272512514704,0.0,-0.04908941116462527
META250328P00600000,2025-03-21 19:59:57+00:00,600.0,12.9,0.0,0.0,0.0,0.0,1573.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,29.987673765838032,0.0,-0.04929480619041868
META250328P00602500,2025-03-21 19:55:00+00:00,602.5,15.39,0.0,0.0,0.0,0.0,276.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,30.112622406529024,0.0,-0.0495002012162121
META250328P00605000,2025-03-21 19:59:45+00:00,605.0,15.8,0.0,0.0,0.0,0.0,489.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,30.237571047220015,0.0,-0.049705596242005504
META250328P00607500,2025-03-21 19:59:22+00:00,607.5,17.08,0.0,0.0,0.0,0.0,48.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,30.362519687911007,0.0,-0.04991099126779891
META250328P00610000,2025-03-21 19:56:58+00:00,610.0,19.75,0.0,0.0,0.0,0.0,430.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,30.487468328602,0.0,-0.05011638629359233
META250328P00612500,2025-03-21 19:53:59+00:00,612.5,22.45,0.0,0.0,0.0,0.0,33.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,30.612416969292994,0.0,-0.050321781319385736
META250328P00615000,2025-03-21 19:57:04+00:00,615.0,23.35,0.0,0.0,0.0,0.0,194.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,30.737365609983986,0.0,-0.05052717634517914
META250328P00617500,2025-03-21 18:18:59+00:00,617.5,26.15,0.0,0.0,0.0,0.0,31.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,30.862314250674977,0.0,-0.05073257137097256
META250328P00620000,2025-03-21 19:59:25+00:00,620.0,25.97,0.0,0.0,0.0,0.0,319.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,30.98726289136597,0.0,-0.050937966396765975
META250328P00622500,2025-03-21 19:57:04+00:00,622.5,29.34,0.0,0.0,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,31.11221153205696,0.0,-0.051143361422559375
META250328P00625000,2025-03-21 19:59:44+00:00,625.0,30.25,0.0,0.0,0.0,0.0,93.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,31.237160172747952,0.0,-0.051348756448352795
META250328P00627500,2025-03-21 16:11:14+00:00,627.5,38.63,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,31.362108813438944,0.0,-0.051554151474146194
META250328P00630000,2025-03-21 19:54:42+00:00,630.0,37.34,0.0,0.0,0.0,0.0,214.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,31.487057454129936,0.0,-0.051759546499939614
META250328P00632500,2025-03-21 18:04:10+00:00,632.5,38.5,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,31.612006094820927,0.0,-0.05196494152573303
META250328P00635000,2025-03-21 19:40:11+00:00,635.0,42.0,0.0,0.0,0.0,0.0,21.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,31.73695473551192,0.0,-0.05217033655152643
META250328P00637500,2025-03-20 19:40:06+00:00,637.5,49.93,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,31.86190337620291,0.0,-0.05237573157731985
META250328P00640000,2025-03-21 19:55:41+00:00,640.0,45.4,0.0,0.0,0.0,0.0,69.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,31.986852016893902,0.0,-0.05258112660311326
META250328P00642500,2025-03-21 16:21:47+00:00,642.5,49.9,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,32.111800657584894,0.0,-0.052786521628906666
META250328P00645000,2025-03-21 19:59:44+00:00,645.0,48.39,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,32.23674929827589,0.0,-0.052991916654700086
META250328P00647500,2025-03-21 17:15:23+00:00,647.5,52.9,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,32.36169793896688,0.0,-0.05319731168049349
META250328P00650000,2025-03-21 19:50:13+00:00,650.0,54.55,0.0,0.0,0.0,0.0,106.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,32.48664657965787,0.0,-0.0534027067062869
META250328P00652500,2025-03-20 16:11:24+00:00,652.5,50.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,32.61159522034886,0.0,-0.05360810173208032
META250328P00655000,2025-03-21 17:11:14+00:00,655.0,60.28,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,32.736543861039856,0.0,-0.05381349675787373
META250328P00657500,2025-03-21 18:06:51+00:00,657.5,63.5,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,32.861492501730844,0.0,-0.05401889178366713
META250328P00660000,2025-03-21 18:24:14+00:00,660.0,66.8,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,32.98644114242184,0.0,-0.05422428680946055
META250328P00662500,2025-03-19 14:13:46+00:00,662.5,75.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,33.11138978311283,0.0,-0.054429681835253964
META250328P00665000,2025-03-20 19:54:45+00:00,665.0,80.75,0.0,0.0,0.0,0.0,21.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,33.23633842380382,0.0,-0.05463507686104736
META250328P00667500,2025-03-21 18:41:33+00:00,667.5,72.72,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,33.36128706449481,0.0,-0.05484047188684078
META250328P00670000,2025-03-21 19:18:28+00:00,670.0,74.3,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,33.486235705185806,0.0,-0.055045866912634196
